instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre,subgenre
134768,Freddie Gibbs,Triple Threat,12NwYmQT1Mm7gkrCjIuq0d,45,0.0252,0.85,178422,0.412,0,D,0.0948,-7.845,Major,0.236,130.99,04-Apr,0.663,Alternative,"Gangsta, Hardcore Hip-Hop, Hip Hop, Thug Rap"
97297,Three Days Grace,No More,4yDs61mzPcTod9qrBUE3H9,45,0.00261,0.271,225493,0.916,0,F#,0.156,-3.141,Minor,0.0581,197.817,04-Apr,0.286,Alternative,"Nu Metal, Alternative Rock, Rock, Grunge"
88412,Solange,Don't You Wait,0AmkrjMDff4ICVNxQhppZA,45,0.279,0.833,245907,0.579,0.692,C,0.0997,-6.568,Major,0.08,?,04-Apr,0.514,Alternative,"Euro House, RnB/Swing, Electronic, Electro, House, Screw, Funk / Soul, Hip Hop"
172572,Amy Grant,"Baby, Baby",25AmLrQC1b3Hz9FUGZXF1S,58,0.426,0.702,236973,0.901,0.00153,C#,0.0368,-4.45,Major,0.0264,97.862,04-Apr,0.919,Alternative,"Electronic, Gospel, Rock, House, Ambient, Interview, Promotional, Folk, World, & Country, Funk / Soul, Downtempo, Non-Music, Progressive House, Religious, Pop"
194415,empty_field,Livin Right,6KmnejQFYdWUVUJh6zwEce,46,0.00114,0.539,209760,0.915,0,C#,0.0675,-4.251,Minor,0.0601,88.051,04-Apr,0.435,Alternative,
45901,Mandisa,Unfinished,6bbgFuZu4zsvAfSDhBiH34,49,0.0152,0.63,-1,0.691,0,A,0.303,-4.334,Major,0.0312,93.014,04-Apr,0.261,Alternative,"Electronic, Ballad, Neo Soul, Dark Ambient, Funk / Soul, Disco, Holiday, J-pop, Soul, Pop"
22453,Masego,I DO EVERYTHING!,4Vs0lqUgQzO4vEcbgkUgJb,49,0.521,0.76,-1,0.393,0.000668,C#,0.796,-11.219,Minor,0.525,135.293,04-Apr,0.34,Alternative,"Electronic, Rock, Krautrock, Alternative Rock, Indie Rock, Funk / Soul, Experimental, Jazz, Soul-Jazz, Hip Hop, Contemporary R&B, Punk"
52047,empty_field,Roll Right,5mJ69hhibmTLd407KDDgQK,49,0.014,0.527,-1,0.789,0.0133,A,0.381,-8.049,Major,0.0694,86.137,04-Apr,0.452,Alternative,
114252,Florence + The Machine,My Best Dress - Demo,32VsrbbWKZAuUSsWkMKzZM,55,0.518,0.578,154587,0.272,6.59E-06,C,0.106,-7.944,Minor,0.0818,135.098,04-Apr,0.211,Alternative,"Hardcore, Electronic, Rock, Gabber, Electro, House, Hard Trance, Vocal, Downtempo, Breakbeat, Dubstep, Happy Hardcore, Pop"
216960,empty_field,Guitarras Blancas,1uOgZkPPwGgya04nRoM1wy,58,0.0707,0.632,266827,0.754,4.62E-05,G#,0.14,-4.639,Major,0.0385,145.066,04-Apr,0.792,Alternative,
49554,Brent Faiyaz,So Far Gone / Fast Life Bluez,2x5Frs6ts14U4MSLrQQlXg,46,0.841,0.511,331018,0.439,3.12E-05,A,0.225,-11.79,Minor,0.218,159.815,04-Apr,0.124,Alternative,"Funk / Soul, Contemporary R&B"
66163,empty_field,Liar,67hMSEb3LyrmgEo9fPNrDU,48,0.266,0.537,311347,0.755,0.0901,C,0.262,-8.187,Major,0.0269,134.879,04-Apr,0.538,Alternative,
189311,PREP,Who's Got You Singing Again,090yW5nfZqCi8jVtf9WxvP,55,0.532,0.83,264204,0.501,0.0013,C,0.0985,-6.223,Major,0.0308,?,04-Apr,0.481,Alternative,"Electronic, Indie Pop, Electro, Funk / Soul, Funk, Disco, Experimental, Synth-pop, Contemporary R&B, Pop"
68463,Noah Slee,DGAF,6LPnHQr7o95lezO5Y6qJVE,57,0.227,0.804,196640,0.522,0.000171,A,0.077,-7.319,Minor,0.0485,134.168,04-Apr,0.243,Alternative,Funk / Soul
150133,Amon Amarth,Raise Your Horns,0hvi6FQl4h3zVGC2DVpohG,50,6.05E-05,0.458,263760,0.873,0.737,F,0.0664,-5.336,Major,0.0439,164.984,03-Apr,0.551,Alternative,"Melodic Death Metal, Industrial, New Beat, Electronic, Rock, Downtempo, Trance, Future Jazz, Tech House, Viking Metal"
109520,Deftones,Elite,7o2M1H5G247OQs98gIo10z,44,0.000638,0.46,241800,0.992,0.866,F,0.321,-3.298,Minor,0.0818,?,04-Apr,0.206,Alternative,"Ska, Rock, Electronic, Noise, Ambient, Experimental, Post-Hardcore, Hard Rock, Nu Metal"
123290,The 1975,The Sound,1xYrVZWJLihIMTqdSA34TS,61,0.096,0.643,248880,0.945,7.71E-06,C,0.495,-4.66,Major,0.0779,120.723,04-Apr,0.526,Alternative,
216193,Marilyn Manson,This Is The New S**t,0Zr8z1TgQl27P3qYqQltG2,53,0.00106,0.573,259667,0.865,0.00469,D,0.116,-6.097,Major,0.104,178.115,04-Apr,0.616,Alternative,"Electronic, Rock, Experimental, Trance, Drum n Bass, Jungle, Industrial Metal, Psychedelic Rock"
119972,Aranda,Don't Wake Me,1ReFDhIzzlYecxK2vkkDz7,41,3.87E-05,0.511,-1,0.886,2.09E-05,F#,0.126,-4.993,Minor,0.0507,?,04-Apr,0.335,Alternative,"Electronic, Rock, Acid, Gospel, Pop Rock, House, Disco, Funk / Soul, Breakbeat, Techno, Religious, Contemporary R&B, Soul, Pop"
23678,Eve 6,Here's to the Night,6OGdCwMZiXxZYwTEN2wMTp,54,0.0405,0.583,249840,0.652,0.000378,G,0.0781,-6.255,Major,0.0244,?,04-Apr,0.352,Alternative,"Electronic, Rock, Electro, Alternative Rock, Ghettotech, Indie Rock, Techno, Hip Hop"
176103,Marco McKinnis,Deep,27u3Rh4IWYPdwVST20ALrt,44,0.0642,0.695,227493,0.474,0.000727,B,0.0923,-7.582,Major,0.0345,127.999,04-Apr,0.497,Alternative,"Rock, Folk, World, & Country, Funk / Soul, Contemporary R&B, Pop"
213743,Bryce Fox,SAD!,61cvDWMweVzJWlaj6sWwSl,45,0.377,0.509,172027,0.501,0,G#,0.0936,-7.503,Major,0.0556,?,04-Apr,0.5,Alternative,"Electro, House, Electronic, Pop"
157648,Oliver Tree,Hurt,5PHZJ8mnHDfioBfxSbff9h,71,0.0209,0.561,-1,0.782,0,C,0.315,-5.863,Major,0.04,94.004,04-Apr,0.486,Alternative,"Dance-pop, Rock, Electronic, Electro, House, Pop"
93475,empty_field,Wonderful - Remastered,2ketlej3bAKtetsazG94rV,40,0.00513,0.471,-1,0.868,7.23E-06,G,0.22,-4.227,Major,0.0564,186.67,04-Apr,0.552,Alternative,
